0x0	0xb
0xbd3B0x233	0xbdfB0x233
0xc01B0x233	0xc0fB0x233
0xc1eB0x233	0xc24B0x233
0xc2bB0x233	0xc3dB0x233
0xc44B0x233	0xc52B0x233
0xc62B0x233	0xc68B0x233
0xe08B0x46e	0xe73B0x46e
0xe74B0x46e	0xe81B0x46e
0xea0B0x4c5	0xf0dB0x4c5
0xf0eB0x4c5	0xf1bB0x4c5
0x13c0B0x6c4	0x13cbB0x6c4
0x13e4B0x710	0x13fcB0x710
0x1474B0x722	0x147fB0x722
0x1783B0xa64	0x179bB0xa64
0xf35B0x4f5	0xf3fB0x4f5
0xf40B0x4f5	0xf4bB0x4f5
0xf4cB0x4f5	0xf52B0x4f5
0xf57B0x4f5	0xf6fB0x4f5
0xb77B0xf2bB0x4f5	0xb89B0xf2bB0x4f5
0xbdfB0xf2bB0x4f5	0xbf1B0xf2bB0x4f5
0xc68B0xf2bB0x4f5	0xc72B0xf2bB0x4f5
0xb50B0xf2bB0x4f5	0xb77B0xf2bB0x4f5
0xb99B0xf2bB0x4f5	0xba5B0xf2bB0x4f5
0xbb3B0xf2bB0x4f5	0xbb9B0xf2bB0x4f5
0xbc0B0xf2bB0x4f5	0xbccB0xf2bB0x4f5
0xbd3B0xf2bB0x4f5	0xbdfB0xf2bB0x4f5
0xc01B0xf2bB0x4f5	0xc0fB0xf2bB0x4f5
0xc1eB0xf2bB0x4f5	0xc24B0xf2bB0x4f5
0xc2bB0xf2bB0x4f5	0xc3dB0xf2bB0x4f5
0xc44B0xf2bB0x4f5	0xc52B0xf2bB0x4f5
0xc62B0xf2bB0x4f5	0xc68B0xf2bB0x4f5
0xfd8B0x58f	0xfe2B0x58f
0xfe3B0x58f	0xfe9B0x58f
0xfeeB0x58f	0x1006B0x58f
0xb77B0xfd0B0x58f	0xb89B0xfd0B0x58f
0xbdfB0xfd0B0x58f	0xbf1B0xfd0B0x58f
0xc68B0xfd0B0x58f	0xc72B0xfd0B0x58f
0xb50B0xfd0B0x58f	0xb77B0xfd0B0x58f
0xb99B0xfd0B0x58f	0xba5B0xfd0B0x58f
0xbb3B0xfd0B0x58f	0xbb9B0xfd0B0x58f
0xbc0B0xfd0B0x58f	0xbccB0xfd0B0x58f
0xbd3B0xfd0B0x58f	0xbdfB0xfd0B0x58f
0xc01B0xfd0B0x58f	0xc0fB0xfd0B0x58f
0xc1eB0xfd0B0x58f	0xc24B0xfd0B0x58f
0xc2bB0xfd0B0x58f	0xc3dB0xfd0B0x58f
0xc44B0xfd0B0x58f	0xc52B0xfd0B0x58f
0xc62B0xfd0B0x58f	0xc68B0xfd0B0x58f
0x1061B0x5a1	0x106bB0x5a1
0x106cB0x5a1	0x1077B0x5a1
0x1078B0x5a1	0x107eB0x5a1
0x1083B0x5a1	0x1090B0x5a1
0x1095B0x5a1	0x10a7B0x5a1
0x10c1B0x5a1	0x10d9B0x5a1
0x10daB0x5a1	0x10eaB0x5a1
0x10ebB0x5a1	0x10fbB0x5a1
0xb77B0x1047B0x5a1	0xb89B0x1047B0x5a1
0xbdfB0x1047B0x5a1	0xbf1B0x1047B0x5a1
0xc68B0x1047B0x5a1	0xc72B0x1047B0x5a1
0xb50B0x1047B0x5a1	0xb77B0x1047B0x5a1
0xb99B0x1047B0x5a1	0xba5B0x1047B0x5a1
0xbb3B0x1047B0x5a1	0xbb9B0x1047B0x5a1
0xbc0B0x1047B0x5a1	0xbccB0x1047B0x5a1
0xbd3B0x1047B0x5a1	0xbdfB0x1047B0x5a1
0xc01B0x1047B0x5a1	0xc0fB0x1047B0x5a1
0xc1eB0x1047B0x5a1	0xc24B0x1047B0x5a1
0xc2bB0x1047B0x5a1	0xc3dB0x1047B0x5a1
0xc44B0x1047B0x5a1	0xc52B0x1047B0x5a1
0xc62B0x1047B0x5a1	0xc68B0x1047B0x5a1
0x11d7B0x652	0x11e1B0x652
0x11e2B0x652	0x11edB0x652
0x11eeB0x652	0x11f4B0x652
0x11f9B0x652	0x1206B0x652
0xb77B0x11cdB0x652	0xb89B0x11cdB0x652
0xbdfB0x11cdB0x652	0xbf1B0x11cdB0x652
0xc68B0x11cdB0x652	0xc72B0x11cdB0x652
0xb50B0x11cdB0x652	0xb77B0x11cdB0x652
0xb99B0x11cdB0x652	0xba5B0x11cdB0x652
0xbb3B0x11cdB0x652	0xbb9B0x11cdB0x652
0xbc0B0x11cdB0x652	0xbccB0x11cdB0x652
0xbd3B0x11cdB0x652	0xbdfB0x11cdB0x652
0xc01B0x11cdB0x652	0xc0fB0x11cdB0x652
0xc1eB0x11cdB0x652	0xc24B0x11cdB0x652
0xc2bB0x11cdB0x652	0xc3dB0x11cdB0x652
0xc44B0x11cdB0x652	0xc52B0x11cdB0x652
0xc62B0x11cdB0x652	0xc68B0x11cdB0x652
0x1245B0x6b2	0x124fB0x6b2
0x1250B0x6b2	0x125bB0x6b2
0x125cB0x6b2	0x1262B0x6b2
0x1267B0x6b2	0x1274B0x6b2
0x1279B0x6b2	0x1297B0x6b2
0x129cB0x6b2	0x12cdB0x6b2
0x12d2B0x6b2	0x1366B0x6b2
0xb77B0x123bB0x6b2	0xb89B0x123bB0x6b2
0xbdfB0x123bB0x6b2	0xbf1B0x123bB0x6b2
0xc68B0x123bB0x6b2	0xc72B0x123bB0x6b2
0xb50B0x123bB0x6b2	0xb77B0x123bB0x6b2
0xb99B0x123bB0x6b2	0xba5B0x123bB0x6b2
0xbb3B0x123bB0x6b2	0xbb9B0x123bB0x6b2
0xbc0B0x123bB0x6b2	0xbccB0x123bB0x6b2
0xbd3B0x123bB0x6b2	0xbdfB0x123bB0x6b2
0xc01B0x123bB0x6b2	0xc0fB0x123bB0x6b2
0xc1eB0x123bB0x6b2	0xc24B0x123bB0x6b2
0xc2bB0x123bB0x6b2	0xc3dB0x123bB0x6b2
0xc44B0x123bB0x6b2	0xc52B0x123bB0x6b2
0xc62B0x123bB0x6b2	0xc68B0x123bB0x6b2
0x1694B0x8ea	0x169eB0x8ea
0x169fB0x8ea	0x16a8B0x8ea
0x171fB0x8ea	0x1733B0x8ea
0x16b7B0x8ea	0x16f6B0x8ea
0x16f6B0x8ea	0x16feB0x8ea
0xb77B0x168aB0x8ea	0xb89B0x168aB0x8ea
0xbdfB0x168aB0x8ea	0xbf1B0x168aB0x8ea
0xc68B0x168aB0x8ea	0xc72B0x168aB0x8ea
0xb50B0x168aB0x8ea	0xb77B0x168aB0x8ea
0xb99B0x168aB0x8ea	0xba5B0x168aB0x8ea
0xbb3B0x168aB0x8ea	0xbb9B0x168aB0x8ea
0xbc0B0x168aB0x8ea	0xbccB0x168aB0x8ea
0xbd3B0x168aB0x8ea	0xbdfB0x168aB0x8ea
0xc01B0x168aB0x8ea	0xc0fB0x168aB0x8ea
0xc1eB0x168aB0x8ea	0xc24B0x168aB0x8ea
0xc2bB0x168aB0x8ea	0xc3dB0x168aB0x8ea
0xc44B0x168aB0x8ea	0xc52B0x168aB0x8ea
0xc62B0x168aB0x8ea	0xc68B0x168aB0x8ea
0x1929B0xd1e	0x1937B0xd1e
0x196bB0x1965B0x1937B0xd1e	0x1974B0x1965B0x1937B0xd1e
