filename,block,tx,msg,address,first,last,codes,contracts,len_code,len_code1,len_sigs,solc,subdir,contract_id,source_path
12515561-0xc3ee78cc55966168effef3f95d83312dcb66399d.hex,12515561,129,0,0xc3ee78cc55966168effef3f95d83312dcb66399d,12515561,12515561,1,1,300,247,2,0.8.1,12xxxxxx,12515561-0xc3ee78cc55966168effef3f95d83312dcb66399d,/Users/rafael/projects/skelcodes/source/12xxxxxx/12515561-0xc3ee78cc55966168effef3f95d83312dcb66399d
5295473-0x44919b8026f38d70437a8eb3be47b06ab1c3e4bf.hex,5295473,16,0,0x44919b8026f38d70437a8eb3be47b06ab1c3e4bf,5295473,5356381,2,2,1541,1498,4,0.4.19,5xxxxxx,5295473-0x44919b8026f38d70437a8eb3be47b06ab1c3e4bf,/Users/rafael/projects/skelcodes/source/5xxxxxx/5295473-0x44919b8026f38d70437a8eb3be47b06ab1c3e4bf
7109411-0x5d04fd11b62cdf31f67b16a392cb05e00182c522.hex,7109411,4,0,0x5d04fd11b62cdf31f67b16a392cb05e00182c522,7109411,7109411,1,1,11306,11263,12,0.4.24,7xxxxxx,7109411-0x5d04fd11b62cdf31f67b16a392cb05e00182c522,/Users/rafael/projects/skelcodes/source/7xxxxxx/7109411-0x5d04fd11b62cdf31f67b16a392cb05e00182c522
13742039-0x5be1ed8fba5e393f490c29e9b17493725f637b4c.hex,13742039,98,0,0x5be1ed8fba5e393f490c29e9b17493725f637b4c,13742039,13742039,1,1,10721,10668,34,0.8.0,13xxxxxx,13742039-0x5be1ed8fba5e393f490c29e9b17493725f637b4c,/Users/rafael/projects/skelcodes/source/13xxxxxx/13742039-0x5be1ed8fba5e393f490c29e9b17493725f637b4c
12788736-0xeeeb024af0927e2ec0c6e146b77c722b490d6d1d.hex,12788736,61,0,0xeeeb024af0927e2ec0c6e146b77c722b490d6d1d,12788736,12788736,1,1,15368,15315,46,0.8.5,12xxxxxx,12788736-0xeeeb024af0927e2ec0c6e146b77c722b490d6d1d,/Users/rafael/projects/skelcodes/source/12xxxxxx/12788736-0xeeeb024af0927e2ec0c6e146b77c722b490d6d1d
7280001-0xe36613a299ba695aba8d0c0011fce95e681f6dd3.hex,7280001,2,1,0xe36613a299ba695aba8d0c0011fce95e681f6dd3,7280001,7280001,1,1,292,249,1,0.5.2,7xxxxxx,7280001-0xe36613a299ba695aba8d0c0011fce95e681f6dd3,/Users/rafael/projects/skelcodes/source/7xxxxxx/7280001-0xe36613a299ba695aba8d0c0011fce95e681f6dd3
5617715-0x50c30eedffde0e2c48347b86bfef7f062a74145c.hex,5617715,96,2,0x50c30eedffde0e2c48347b86bfef7f062a74145c,5617715,6224531,2,15,1560,1517,6,0.4.23,5xxxxxx,5617715-0x50c30eedffde0e2c48347b86bfef7f062a74145c,/Users/rafael/projects/skelcodes/source/5xxxxxx/5617715-0x50c30eedffde0e2c48347b86bfef7f062a74145c
12152253-0x9fcbbfac8202706eb05f271adda8a8fce8418159.hex,12152253,27,0,0x9fcbbfac8202706eb05f271adda8a8fce8418159,12152253,12152253,1,1,10001,9948,43,0.6.0,12xxxxxx,12152253-0x9fcbbfac8202706eb05f271adda8a8fce8418159,/Users/rafael/projects/skelcodes/source/12xxxxxx/12152253-0x9fcbbfac8202706eb05f271adda8a8fce8418159
8177007-0x0e8d33e90d2b32f36c335fa9d808f729a1815b86.hex,8177007,45,0,0x0e8d33e90d2b32f36c335fa9d808f729a1815b86,8177007,8186187,3,7,994,951,3,0.4.24,8xxxxxx,8177007-0x0e8d33e90d2b32f36c335fa9d808f729a1815b86,/Users/rafael/projects/skelcodes/source/8xxxxxx/8177007-0x0e8d33e90d2b32f36c335fa9d808f729a1815b86
12796960-0xa4477af411df13128e724b7f7d1ebd337627a3ff.hex,12796960,52,0,0xa4477af411df13128e724b7f7d1ebd337627a3ff,12796934,12796960,2,2,15408,15355,22,0.8.4,12xxxxxx,12796960-0xa4477af411df13128e724b7f7d1ebd337627a3ff,/Users/rafael/projects/skelcodes/source/12xxxxxx/12796960-0xa4477af411df13128e724b7f7d1ebd337627a3ff
3967990-0xd88e4822687d0f9c73e296296ed3ecd0a193dd46.hex,3967990,27,0,0xd88e4822687d0f9c73e296296ed3ecd0a193dd46,3967928,3970230,3,3,6578,6535,43,0.4.11,3xxxxxx,3967990-0xd88e4822687d0f9c73e296296ed3ecd0a193dd46,/Users/rafael/projects/skelcodes/source/3xxxxxx/3967990-0xd88e4822687d0f9c73e296296ed3ecd0a193dd46
13200230-0xd308a40ec4a2d922f233b8ce703229b4fd0d7185.hex,13200230,52,0,0xd308a40ec4a2d922f233b8ce703229b4fd0d7185,13200230,13201989,2,2,10396,10343,38,0.8.7,13xxxxxx,13200230-0xd308a40ec4a2d922f233b8ce703229b4fd0d7185,/Users/rafael/projects/skelcodes/source/13xxxxxx/13200230-0xd308a40ec4a2d922f233b8ce703229b4fd0d7185
